Year	Number	Males	Females
1965	87	83	4
1966	89	76	13
1967	222	198	24
1968	459	404	55
1969	933	812	121
1970	1544	1345	199
1971	2388	2064	324
1972	3402	2941	461
1973	4304	3664	640
1974	4756	3976	780
1975	5033	4080	953
1976	5652	4534	1118
1977	6407	4876	1531
1978	7201	5349	1852
1979	8719	6272	2447
1980	11154	7782	3372
1981	15121	10202	4919
1982	20267	13218	7049
1983	24565	15641	8924
1984	32439	20416	12023
1985	39121	24737	14384
1986	42337	27208	15129
1987	39767	25962	13805
1988	34651	23414	11237
1989	30560	21143	9417
1990	27347	19159	8188
1991	25159	17771	7388
1992	24821	17685	7136
1993	24519	17606	6913
1994	24527	17528	6999
1995	24737	17684	7053
1996	24506	17757	6749
1997	25422	18527	6895
1998	27829	20372	7457
1999	30552	22289	8263
2000	37788	27185	10603
2001	44142	31923	12219
2002	50365	36462	13903
2003	57433	41950	15483
2004	59488	44585	14903
2005	54111	42125	11986
2006	47702	37905	9797
2007	42164	34338	7826
2008	38523	31731	6792
2009	37992	31213	6779
2010	39593	32414	7179
2011	43066	35477	7589
2012	47406	38796	8610
2013	50961	41874	9087
2014	55271	45320	9951
2015	59586	48844	10742
2016	64402	52330	12072
2017	71416	57763	13653
2018	79597	63703	15894
2019	88633	70319	18314
